imcraRegion,yearStart,yearEnd,griisStatus,recordCount,speciesCount
Flinders,1976,1980,Native,6503,1056
Flinders,1981,1985,Introduced,27,13
Flinders,1981,1985,Invasive,2,1
Flinders,1981,1985,Native,4764,1208
Flinders,1986,1990,Introduced,354,67
Flinders,1986,1990,Invasive,14,3
Flinders,1986,1990,Native,7401,653
Flinders,1991,1995,Introduced,4,2
Flinders,1991,1995,Native,10137,551
Flinders,1996,2000,Introduced,10,9
Flinders,1996,2000,Invasive,3,3
Flinders,1996,2000,Native,17655,985
Flinders,2001,2005,Introduced,5,4
Flinders,2001,2005,Native,10696,578
Flinders,2006,2010,Introduced,9,8
Flinders,2006,2010,Invasive,1,1
Flinders,2006,2010,Native,4242,858
Flinders,2011,2015,Introduced,11,7
Flinders,2011,2015,Native,1520,577
Flinders,2016,2020,Native,1989,345
Franklin,1900,1970,Introduced,7,5
Franklin,1900,1970,Native,794,428
Franklin,1971,1975,Introduced,2,2
Franklin,1971,1975,Native,631,340
Franklin,1976,1980,Introduced,9,7
Franklin,1976,1980,Native,1532,410
Franklin,1981,1985,Introduced,55,16
Franklin,1981,1985,Native,2694,661
Franklin,1986,1990,Introduced,8,7
Franklin,1986,1990,Native,427,236
Franklin,1991,1995,Introduced,1,1
Franklin,1991,1995,Native,1126,230
Franklin,1996,2000,Introduced,1,1
Franklin,1996,2000,Native,633,231
Franklin,2001,2005,Introduced,7,4
Franklin,2001,2005,Native,953,343
Franklin,2006,2010,Introduced,4,4
Franklin,2006,2010,Native,1857,354
Franklin,2011,2015,Native,821,390
Franklin,2016,2020,Introduced,14,8
Franklin,2016,2020,Native,874,193
Freycinet,1900,1970,Introduced,3,2
Freycinet,1900,1970,Native,3632,1301
Freycinet,1971,1975,Introduced,2,2
Freycinet,1971,1975,Native,1627,618
Freycinet,1976,1980,Introduced,18,14
Freycinet,1976,1980,Invasive,34,1
Freycinet,1976,1980,Native,3599,766
Freycinet,1981,1985,Introduced,44,29
Freycinet,1981,1985,Invasive,1,1
Freycinet,1981,1985,Native,3559,1091
Freycinet,1986,1990,Introduced,2,2
Freycinet,1986,1990,Native,1507,552
Freycinet,1991,1995,Introduced,2,1
Freycinet,1991,1995,Native,18154,716
Freycinet,1996,2000,Introduced,4,4
Freycinet,1996,2000,Native,2426,443
Freycinet,2001,2005,Introduced,5,4
Freycinet,2001,2005,Native,25555,688
Freycinet,2006,2010,Introduced,2,2
Freycinet,2006,2010,Invasive,14,1
Freycinet,2006,2010,Native,31162,1008
Freycinet,2011,2015,Introduced,4,4
Freycinet,2011,2015,Native,5712,915
Freycinet,2016,2020,Introduced,4,4
Freycinet,2016,2020,Invasive,7,1
Freycinet,2016,2020,Native,3924,707
Groote,1900,1970,Introduced,9,3
Groote,1900,1970,Native,2169,831
Groote,1971,1975,Introduced,7,2
Groote,1971,1975,Native,1000,647
Groote,1976,1980,Native,4376,580
Groote,1981,1985,Introduced,3,2
Groote,1981,1985,Native,1571,405
Groote,1986,1990,Introduced,11,9
Groote,1986,1990,Invasive,1,1
Groote,1986,1990,Native,1168,479
Groote,1991,1995,Introduced,6,2
Groote,1991,1995,Native,4509,709
Groote,1996,2000,Introduced,29,16
Groote,1996,2000,Invasive,2,2
Groote,1996,2000,Native,25104,844
Groote,2001,2005,Introduced,4,4
Groote,2001,2005,Invasive,1,1
Groote,2001,2005,Native,2528,478
Groote,2006,2010,Introduced,2,2
Groote,2006,2010,Native,3710,337
Groote,2011,2015,Introduced,2,2
Groote,2011,2015,Native,2856,284
Groote,2016,2020,Native,1872,213
Hawkesbury Shelf,1900,1970,Introduced,282,106
Hawkesbury Shelf,1900,1970,Invasive,10,6
Hawkesbury Shelf,1900,1970,Native,75518,5235
Hawkesbury Shelf,1971,1975,Introduced,78,28
Hawkesbury Shelf,1971,1975,Invasive,5,3
Hawkesbury Shelf,1971,1975,Native,13132,2476
Hawkesbury Shelf,1976,1980,Introduced,69,28
Hawkesbury Shelf,1976,1980,Invasive,5,3
Hawkesbury Shelf,1976,1980,Native,13031,2114
Hawkesbury Shelf,1981,1985,Introduced,41,25
Hawkesbury Shelf,1981,1985,Invasive,8,5
Hawkesbury Shelf,1981,1985,Native,9982,1603
Hawkesbury Shelf,1986,1990,Introduced,28,17
Hawkesbury Shelf,1986,1990,Invasive,6,1
Hawkesbury Shelf,1986,1990,Native,24311,1471
Hawkesbury Shelf,1991,1995,Introduced,146,11
Hawkesbury Shelf,1991,1995,Invasive,4,3
Hawkesbury Shelf,1991,1995,Native,20279,1483
Hawkesbury Shelf,1996,2000,Introduced,39,21
Hawkesbury Shelf,1996,2000,Invasive,7,3
Hawkesbury Shelf,1996,2000,Native,9239,1438
Hawkesbury Shelf,2001,2005,Introduced,98,50
Hawkesbury Shelf,2001,2005,Invasive,18,4
Hawkesbury Shelf,2001,2005,Native,15363,1547
Hawkesbury Shelf,2006,2010,Introduced,70,38
Hawkesbury Shelf,2006,2010,Invasive,54,7
Hawkesbury Shelf,2006,2010,Native,57329,1333
Hawkesbury Shelf,2011,2015,Introduced,26,19
Hawkesbury Shelf,2011,2015,Invasive,17,4
Hawkesbury Shelf,2011,2015,Native,91901,1485
Hawkesbury Shelf,2016,2020,Introduced,189,71
