ibraRegion,yearStart,yearEnd,griisStatus,recordCount,speciesCount
Central Mackay Coast,2011,2015,Introduced,93,40
Central Mackay Coast,2011,2015,Invasive,17,6
Central Mackay Coast,2011,2015,Native,32706,1991
Central Mackay Coast,2016,2020,Introduced,173,52
Central Mackay Coast,2016,2020,Invasive,170,5
Central Mackay Coast,2016,2020,Native,81517,2430
Central Ranges,1900,1970,Introduced,108,23
Central Ranges,1900,1970,Invasive,3,2
Central Ranges,1900,1970,Native,12795,1453
Central Ranges,1971,1975,Introduced,7,3
Central Ranges,1971,1975,Native,2509,736
Central Ranges,1976,1980,Introduced,34,7
Central Ranges,1976,1980,Native,5232,859
Central Ranges,1981,1985,Introduced,4,4
Central Ranges,1981,1985,Invasive,4,3
Central Ranges,1981,1985,Native,3268,643
Central Ranges,1986,1990,Introduced,2,2
Central Ranges,1986,1990,Invasive,10,3
Central Ranges,1986,1990,Native,1094,467
Central Ranges,1991,1995,Introduced,90,6
Central Ranges,1991,1995,Invasive,216,3
Central Ranges,1991,1995,Native,11720,826
Central Ranges,1996,2000,Introduced,156,12
Central Ranges,1996,2000,Invasive,139,3
Central Ranges,1996,2000,Native,13427,1056
Central Ranges,2001,2005,Introduced,19,7
Central Ranges,2001,2005,Invasive,220,1
Central Ranges,2001,2005,Native,7920,800
Central Ranges,2006,2010,Introduced,62,14
Central Ranges,2006,2010,Invasive,20,2
Central Ranges,2006,2010,Native,6695,1029
Central Ranges,2011,2015,Introduced,8,3
Central Ranges,2011,2015,Invasive,432,1
Central Ranges,2011,2015,Native,4841,555
Central Ranges,2016,2020,Introduced,16,7
Central Ranges,2016,2020,Invasive,7,3
Central Ranges,2016,2020,Native,1943,542
Channel Country,1900,1970,Introduced,88,25
Channel Country,1900,1970,Invasive,12,4
Channel Country,1900,1970,Native,13280,1541
Channel Country,1971,1975,Introduced,37,17
Channel Country,1971,1975,Invasive,29,5
Channel Country,1971,1975,Native,7509,1123
Channel Country,1976,1980,Introduced,86,34
Channel Country,1976,1980,Invasive,48,3
Channel Country,1976,1980,Native,17861,1495
Channel Country,1981,1985,Introduced,39,16
Channel Country,1981,1985,Invasive,49,5
Channel Country,1981,1985,Native,10783,1025
Channel Country,1986,1990,Introduced,57,17
Channel Country,1986,1990,Invasive,61,3
Channel Country,1986,1990,Native,11384,1217
Channel Country,1991,1995,Introduced,92,12
Channel Country,1991,1995,Invasive,150,5
Channel Country,1991,1995,Native,30776,1284
Channel Country,1996,2000,Introduced,29,17
Channel Country,1996,2000,Invasive,357,5
Channel Country,1996,2000,Native,43279,1260
Channel Country,2001,2005,Introduced,42,23
Channel Country,2001,2005,Invasive,964,7
Channel Country,2001,2005,Native,27661,1142
Channel Country,2006,2010,Introduced,44,21
Channel Country,2006,2010,Invasive,81,6
Channel Country,2006,2010,Native,35023,1415
Channel Country,2011,2015,Introduced,53,16
Channel Country,2011,2015,Invasive,144,6
Channel Country,2011,2015,Native,43865,1283
Channel Country,2016,2020,Introduced,21,14
Channel Country,2016,2020,Invasive,375,4
Channel Country,2016,2020,Native,63683,1068
Cobar Peneplain,1900,1970,Introduced,426,112
Cobar Peneplain,1900,1970,Invasive,26,5
Cobar Peneplain,1900,1970,Native,23425,2047
Cobar Peneplain,1971,1975,Introduced,255,88
Cobar Peneplain,1971,1975,Invasive,9,5
Cobar Peneplain,1971,1975,Native,11353,1354
Cobar Peneplain,1976,1980,Introduced,210,71
Cobar Peneplain,1976,1980,Invasive,20,7
Cobar Peneplain,1976,1980,Native,25395,1352
Cobar Peneplain,1981,1985,Introduced,90,43
Cobar Peneplain,1981,1985,Invasive,28,7
Cobar Peneplain,1981,1985,Native,10741,1109
Cobar Peneplain,1986,1990,Introduced,207,54
Cobar Peneplain,1986,1990,Invasive,8,5
Cobar Peneplain,1986,1990,Native,11886,1171
Cobar Peneplain,1991,1995,Introduced,1794,92
Cobar Peneplain,1991,1995,Invasive,105,8
Cobar Peneplain,1991,1995,Native,25217,1212
Cobar Peneplain,1996,2000,Introduced,1872,117
Cobar Peneplain,1996,2000,Invasive,232,7
Cobar Peneplain,1996,2000,Native,55580,1433
Cobar Peneplain,2001,2005,Introduced,1167,107
Cobar Peneplain,2001,2005,Invasive,42,9
Cobar Peneplain,2001,2005,Native,33738,1257
Cobar Peneplain,2006,2010,Introduced,459,83
Cobar Peneplain,2006,2010,Invasive,105,9
Cobar Peneplain,2006,2010,Native,31097,1410
Cobar Peneplain,2011,2015,Introduced,723,72
Cobar Peneplain,2011,2015,Invasive,121,8
Cobar Peneplain,2011,2015,Native,55404,1274
Cobar Peneplain,2016,2020,Introduced,247,82
Cobar Peneplain,2016,2020,Invasive,352,7
Cobar Peneplain,2016,2020,Native,93373,1030
Coolgardie,1900,1970,Introduced,57,26
Coolgardie,1900,1970,Native,16713,2344
Coolgardie,1971,1975,Introduced,12,9
Coolgardie,1971,1975,Native,3188,1075
Coolgardie,1976,1980,Introduced,34,19
Coolgardie,1976,1980,Invasive,1,1
Coolgardie,1976,1980,Native,11163,1698
Coolgardie,1981,1985,Introduced,53,29
Coolgardie,1981,1985,Native,7520,1721
Coolgardie,1986,1990,Introduced,35,28
Coolgardie,1986,1990,Native,5039,1272
Coolgardie,1991,1995,Introduced,110,33
Coolgardie,1991,1995,Invasive,4,1
Coolgardie,1991,1995,Native,9390,1599
Coolgardie,1996,2000,Introduced,158,27
Coolgardie,1996,2000,Native,18644,1739
Coolgardie,2001,2005,Introduced,29,14
Coolgardie,2001,2005,Native,11814,1384
Coolgardie,2006,2010,Introduced,103,18
Coolgardie,2006,2010,Invasive,1,1
Coolgardie,2006,2010,Native,16416,1480
Coolgardie,2011,2015,Introduced,38,21
Coolgardie,2011,2015,Invasive,12,6
Coolgardie,2011,2015,Native,40510,1923
Coolgardie,2016,2020,Introduced,11,7
Coolgardie,2016,2020,Invasive,1,1
Coolgardie,2016,2020,Native,22082,996
Coral Sea,1900,1970,Native,165,120
Coral Sea,1971,1975,Native,5,2
Coral Sea,1976,1980,Native,19,10
Coral Sea,1981,1985,Native,157,110
Coral Sea,1986,1990,Native,9,9
Coral Sea,1991,1995,Native,665,93
Coral Sea,1996,2000,Native,41,25
Coral Sea,2001,2005,Native,14,13
Coral Sea,2006,2010,Introduced,2,2
Coral Sea,2006,2010,Native,61,27
Coral Sea,2011,2015,Native,3674,333
Coral Sea,2016,2020,Native,4322,404
Daly Basin,1900,1970,Introduced,176,30
Daly Basin,1900,1970,Invasive,13,4
Daly Basin,1900,1970,Native,7601,1519
Daly Basin,1971,1975,Introduced,7,3
Daly Basin,1971,1975,Native,1586,626
Daly Basin,1976,1980,Introduced,11,8
Daly Basin,1976,1980,Native,12899,957
Daly Basin,1981,1985,Introduced,21,14
Daly Basin,1981,1985,Invasive,1,1
Daly Basin,1981,1985,Native,7600,823
Daly Basin,1986,1990,Introduced,27,17
Daly Basin,1986,1990,Invasive,3,2
Daly Basin,1986,1990,Native,6538,1078
Daly Basin,1991,1995,Introduced,11,6
